Table_Name,Variable_Name,Type,new_names,Table_ID,old_names
National identity,Any other combination of only UK identities...10,NA,ts0270007,ts027,National identity: Any other combination of only UK identities...10
National identity,Scottish only identity,NA,ts0270008,ts027,National identity: Scottish only identity
National identity,Scottish and British only identity,NA,ts0270009,ts027,National identity: Scottish and British only identity
National identity,Northern Irish only identity,NA,ts0270010,ts027,National identity: Northern Irish only identity
National identity,Northern Irish and British only identity,NA,ts0270011,ts027,National identity: Northern Irish and British only identity
National identity,Cornish only identity,NA,ts0270012,ts027,National identity: Cornish only identity
National identity,Cornish and British only identity,NA,ts0270013,ts027,National identity: Cornish and British only identity
National identity,Any other combination of only UK identities...17,NA,ts0270014,ts027,National identity: Any other combination of only UK identities...17
National identity,Irish only identity,NA,ts0270015,ts027,National identity: Irish only identity
National identity,Irish and at least one UK identity,NA,ts0270016,ts027,National identity: Irish and at least one UK identity
National identity,Other identity only,NA,ts0270017,ts027,National identity: Other identity only
National identity,Other identity and at least one UK identity,NA,ts0270018,ts027,National identity: Other identity and at least one UK identity
National identity,Non-UK identity only,NA,ts0270019,ts027,National identity: Non-UK identity only
National identity,UK identity and non-UK identity,NA,ts0270020,ts027,National identity: UK identity and non-UK identity
Proficiency in English language,Total: All usual residents aged 3 years and over,NA,ts0290001,ts029,Proficiency in English language: Total: All usual residents aged 3 years and over
Proficiency in English language,Main language is English (English or Welsh in Wales),NA,ts0290002,ts029,Proficiency in English language: Main language is English (English or Welsh in Wales)
Proficiency in English language,Main language is not English (English or Welsh in Wales),NA,ts0290003,ts029,Proficiency in English language: Main language is not English (English or Welsh in Wales)
Proficiency in English language,Main language is not English (English or Welsh in Wales): Can speak English very well,NA,ts0290004,ts029,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well
Proficiency in English language,Main language is not English (English or Welsh in Wales): Can speak English well,NA,ts0290005,ts029,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well
Proficiency in English language,Main language is not English (English or Welsh in Wales): Cannot speak English well,NA,ts0290006,ts029,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well
Proficiency in English language,Main language is not English (English or Welsh in Wales): Cannot speak English,NA,ts0290007,ts029,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English
Religion,Total: All usual residents,NA,ts0300001,ts030,Religion: Total: All usual residents
Religion,No religion,NA,ts0300002,ts030,Religion: No religion
Religion,Christian,NA,ts0300003,ts030,Religion: Christian
Religion,Buddhist,NA,ts0300004,ts030,Religion: Buddhist
Religion,Hindu,NA,ts0300005,ts030,Religion: Hindu
Religion,Jewish,NA,ts0300006,ts030,Religion: Jewish
Religion,Muslim,NA,ts0300007,ts030,Religion: Muslim
Religion,Sikh,NA,ts0300008,ts030,Religion: Sikh
Religion,Other religion,NA,ts0300009,ts030,Religion: Other religion
Religion,Not answered,NA,ts0300010,ts030,Religion: Not answered
Multi religion household,Total,NA,ts0750001,ts075,Multi religion household: Total
Multi religion household,One-person household,NA,ts0750002,ts075,Multi religion household: One-person household
Multi religion household,Multi-person household: No people stated their religion,NA,ts0750003,ts075,Multi religion household: Multi-person household: No people stated their religion
Multi religion household,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),NA,ts0750004,ts075,Multi religion household: Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion)
Multi religion household,Multi-person household: No religion (household may include people who did not state their religion),NA,ts0750005,ts075,Multi religion household: Multi-person household: No religion (household may include people who did not state their religion)
Multi religion household,Multi-person household: Same religion and no religion (household may include people who did not state their religion),NA,ts0750006,ts075,Multi religion household: Multi-person household: Same religion and no religion (household may include people who did not state their religion)
Multi religion household,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),NA,ts0750007,ts075,Multi religion household: Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion)
Welsh language skills,Total: All usual residents aged 3 years and over,NA,ts0320001,ts032,Welsh language skills: Total: All usual residents aged 3 years and over
Welsh language skills,Can understand spoken Welsh only,NA,ts0320002,ts032,Welsh language skills: Can understand spoken Welsh only
Welsh language skills,"Can speak, read and write Welsh",NA,ts0320003,ts032,"Welsh language skills: Can speak, read and write Welsh"
Welsh language skills,Can speak but cannot read or write Welsh,NA,ts0320004,ts032,Welsh language skills: Can speak but cannot read or write Welsh
Welsh language skills,Can speak and read but cannot write Welsh,NA,ts0320005,ts032,Welsh language skills: Can speak and read but cannot write Welsh
Welsh language skills,Can read but cannot speak or write Welsh,NA,ts0320006,ts032,Welsh language skills: Can read but cannot speak or write Welsh
Welsh language skills,Can write but cannot speak or read Welsh,NA,ts0320007,ts032,Welsh language skills: Can write but cannot speak or read Welsh
Welsh language skills,Can read and write but cannot speak Welsh,NA,ts0320008,ts032,Welsh language skills: Can read and write but cannot speak Welsh
Welsh language skills,Can speak and other combinations of skills in Welsh,NA,ts0320009,ts032,Welsh language skills: Can speak and other combinations of skills in Welsh
Welsh language skills,No skills in Welsh,NA,ts0320010,ts032,Welsh language skills: No skills in Welsh
Welsh speaking ability,Total: All usual residents aged 3 years and over,NA,ts0330001,ts033,Welsh speaking ability: Total: All usual residents aged 3 years and over
Welsh speaking ability,Cannot speak Welsh,NA,ts0330002,ts033,Welsh speaking ability: Cannot speak Welsh
Welsh speaking ability,Can speak Welsh,NA,ts0330003,ts033,Welsh speaking ability: Can speak Welsh
Welsh writing ability,Total: All usual residents aged 3 years and over,NA,ts0340001,ts034,Welsh writing ability: Total: All usual residents aged 3 years and over
Welsh writing ability,Cannot write Welsh,NA,ts0340002,ts034,Welsh writing ability: Cannot write Welsh
Welsh writing ability,Can write Welsh,NA,ts0340003,ts034,Welsh writing ability: Can write Welsh
Welsh reading ability,Total: All usual residents aged 3 years and over,NA,ts0350001,ts035,Welsh reading ability: Total: All usual residents aged 3 years and over
Welsh reading ability,Cannot read Welsh,NA,ts0350002,ts035,Welsh reading ability: Cannot read Welsh
Welsh reading ability,Can read Welsh,NA,ts0350003,ts035,Welsh reading ability: Can read Welsh
Welsh understanding ability,Total: All usual residents aged 3 years and over,NA,ts0360001,ts036,Welsh understanding ability: Total: All usual residents aged 3 years and over
Welsh understanding ability,Cannot understand spoken Welsh,NA,ts0360002,ts036,Welsh understanding ability: Cannot understand spoken Welsh
Welsh understanding ability,Can understand spoken Welsh,NA,ts0360003,ts036,Welsh understanding ability: Can understand spoken Welsh
Distance travelled to work,Total: All usual residents aged 16 years and over in employment the week before the census,NA,ts0580001,ts058,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census
Distance travelled to work,Less than 2km,NA,ts0580002,ts058,Distance travelled to work: Less than 2km
Distance travelled to work,2km to less than 5km,NA,ts0580003,ts058,Distance travelled to work: 2km to less than 5km
Distance travelled to work,5km to less than 10km,NA,ts0580004,ts058,Distance travelled to work: 5km to less than 10km
Distance travelled to work,10km to less than 20km,NA,ts0580005,ts058,Distance travelled to work: 10km to less than 20km
Distance travelled to work,20km to less than 30km,NA,ts0580006,ts058,Distance travelled to work: 20km to less than 30km
Distance travelled to work,30km to less than 40km,NA,ts0580007,ts058,Distance travelled to work: 30km to less than 40km
Distance travelled to work,40km to less than 60km,NA,ts0580008,ts058,Distance travelled to work: 40km to less than 60km
Distance travelled to work,60km and over,NA,ts0580009,ts058,Distance travelled to work: 60km and over
Distance travelled to work,Works mainly from home,NA,ts0580010,ts058,Distance travelled to work: Works mainly from home
Distance travelled to work,"Works mainly at an offshore installation, in no fixed place, or outside the UK",NA,ts0580011,ts058,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
Hours worked,Total: All usual residents aged 16 years and over in employment the week before the census,NA,ts0590001,ts059,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census
Hours worked,Part-time,NA,ts0590002,ts059,Hours worked: Part-time
Hours worked,Part-time: 15 hours or less worked,NA,ts0590003,ts059,Hours worked: Part-time: 15 hours or less worked
Hours worked,Part-time: 16 to 30 hours worked,NA,ts0590004,ts059,Hours worked: Part-time: 16 to 30 hours worked
Hours worked,Full-time,NA,ts0590005,ts059,Hours worked: Full-time
Hours worked,Full-time: 31 to 48 hours worked,NA,ts0590006,ts059,Hours worked: Full-time: 31 to 48 hours worked
Hours worked,Full-time: 49 or more hours worked,NA,ts0590007,ts059,Hours worked: Full-time: 49 or more hours worked
Method of travel to workplace,Total: All usual residents aged 16 years and over in employment the week before the census,NA,ts0610001,ts061,Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census
Method of travel to workplace,Work mainly at or from home,NA,ts0610002,ts061,Method of travel to workplace: Work mainly at or from home
Method of travel to workplace,"Underground, metro, light rail, tram",NA,ts0610003,ts061,"Method of travel to workplace: Underground, metro, light rail, tram"
Method of travel to workplace,Train,NA,ts0610004,ts061,Method of travel to workplace: Train
Method of travel to workplace,"Bus, minibus or coach",NA,ts0610005,ts061,"Method of travel to workplace: Bus, minibus or coach"
Method of travel to workplace,Taxi,NA,ts0610006,ts061,Method of travel to workplace: Taxi
Method of travel to workplace,"Motorcycle, scooter or moped",NA,ts0610007,ts061,"Method of travel to workplace: Motorcycle, scooter or moped"
Method of travel to workplace,Driving a car or van,NA,ts0610008,ts061,Method of travel to workplace: Driving a car or van
Method of travel to workplace,Passenger in a car or van,NA,ts0610009,ts061,Method of travel to workplace: Passenger in a car or van
Method of travel to workplace,Bicycle,NA,ts0610010,ts061,Method of travel to workplace: Bicycle
Method of travel to workplace,On foot,NA,ts0610011,ts061,Method of travel to workplace: On foot
Method of travel to workplace,Other method of travel to work,NA,ts0610012,ts061,Method of travel to workplace: Other method of travel to work
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,NA,ts0620001,ts062,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over
National Statistics Socio-economic Classification (NS-SEC),"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations",NA,ts0620002,ts062,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations"
National Statistics Socio-economic Classification (NS-SEC),"National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",NA,ts0620003,ts062,"National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations"
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,NA,ts0620004,ts062,National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,NA,ts0620005,ts062,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,NA,ts0620006,ts062,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,NA,ts0620007,ts062,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,NA,ts0620008,ts062,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,NA,ts0620009,ts062,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed
National Statistics Socio-economic Classification (NS-SEC),National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students,NA,ts0620010,ts062,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students
Occupation (current),Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,NA,ts0630001,ts063,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census
Occupation (current),"Occupation (current): 1. Managers, directors and senior officials",NA,ts0630002,ts063,"Occupation (current): 1. Managers, directors and senior officials"
Occupation (current),Occupation (current): 2. Professional occupations,NA,ts0630003,ts063,Occupation (current): 2. Professional occupations
Occupation (current),Occupation (current): 3. Associate professional and technical occupations,NA,ts0630004,ts063,Occupation (current): 3. Associate professional and technical occupations
Occupation (current),Occupation (current): 4. Administrative and secretarial occupations,NA,ts0630005,ts063,Occupation (current): 4. Administrative and secretarial occupations
Occupation (current),Occupation (current): 5. Skilled trades occupations,NA,ts0630006,ts063,Occupation (current): 5. Skilled trades occupations
Occupation (current),"Occupation (current): 6. Caring, leisure and other service occupations",NA,ts0630007,ts063,"Occupation (current): 6. Caring, leisure and other service occupations"
Occupation (current),Occupation (current): 7. Sales and customer service occupations,NA,ts0630008,ts063,Occupation (current): 7. Sales and customer service occupations
Occupation (current),"Occupation (current): 8. Process, plant and machine operatives",NA,ts0630009,ts063,"Occupation (current): 8. Process, plant and machine operatives"
Occupation (current),Occupation (current): 9. Elementary occupations,NA,ts0630010,ts063,Occupation (current): 9. Elementary occupations
Unemployment history,Total: All usual residents aged 16 years and over not in employment the week before the census,NA,ts0650001,ts065,Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census
Unemployment history,Not in employment: Worked in the last 12 months,NA,ts0650002,ts065,Unemployment history: Not in employment: Worked in the last 12 months
Unemployment history,Not in employment: Not worked in the last 12 months,NA,ts0650003,ts065,Unemployment history: Not in employment: Not worked in the last 12 months
Unemployment history,Not in employment: Never worked,NA,ts0650004,ts065,Unemployment history: Not in employment: Never worked
Economic activity status,Total: All usual residents aged 16 years and over,NA,ts0660001,ts066,Economic activity status: Total: All usual residents aged 16 years and over
Economic activity status,Economically active (excluding full-time students),NA,ts0660002,ts066,Economic activity status: Economically active (excluding full-time students)
Economic activity status,Economically active (excluding full-time students):In employment,NA,ts0660003,ts066,Economic activity status: Economically active (excluding full-time students):In employment
Economic activity status,Economically active (excluding full-time students):In employment:Employee,NA,ts0660004,ts066,Economic activity status: Economically active (excluding full-time students):In employment:Employee
Economic activity status,Economically active (excluding full-time students): In employment: Employee: Part-time,NA,ts0660005,ts066,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time
Economic activity status,Economically active (excluding full-time students): In employment: Employee: Full-time,NA,ts0660006,ts066,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time
Economic activity status,Economically active (excluding full-time students):In employment:Self-employed with employees,NA,ts0660007,ts066,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees
Economic activity status,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,NA,ts0660008,ts066,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time
Economic activity status,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,NA,ts0660009,ts066,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time
Economic activity status,Economically active (excluding full-time students):In employment:Self-employed without employees,NA,ts0660010,ts066,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees
Economic activity status,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,NA,ts0660011,ts066,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time
Economic activity status,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,NA,ts0660012,ts066,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time
Economic activity status,Economically active (excluding full-time students): Unemployed,NA,ts0660013,ts066,Economic activity status: Economically active (excluding full-time students): Unemployed
Economic activity status,Economically active and a full-time student,NA,ts0660014,ts066,Economic activity status: Economically active and a full-time student
Economic activity status,Economically active and a full-time student:In employment,NA,ts0660015,ts066,Economic activity status: Economically active and a full-time student:In employment
Economic activity status,Economically active and a full-time student:In employment:Employee,NA,ts0660016,ts066,Economic activity status: Economically active and a full-time student:In employment:Employee
Economic activity status,Economically active and a full-time student: In employment: Employee: Part-time,NA,ts0660017,ts066,Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time
Economic activity status,Economically active and a full-time student: In employment: Employee: Full-time,NA,ts0660018,ts066,Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time
Economic activity status,Economically active and a full-time student:In employment:Self-employed with employees,NA,ts0660019,ts066,Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees
Economic activity status,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,NA,ts0660020,ts066,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time
Economic activity status,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,NA,ts0660021,ts066,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time
Economic activity status,Economically active and a full-time student:In employment:Self-employed without employees,NA,ts0660022,ts066,Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees
Economic activity status,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,NA,ts0660023,ts066,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time
Economic activity status,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,NA,ts0660024,ts066,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time
Economic activity status,Economically active and a full-time student: Unemployed,NA,ts0660025,ts066,Economic activity status: Economically active and a full-time student: Unemployed
Economic activity status,Economically inactive,NA,ts0660026,ts066,Economic activity status: Economically inactive
Economic activity status,Economically inactive: Retired,NA,ts0660027,ts066,Economic activity status: Economically inactive: Retired
Economic activity status,Economically inactive: Student,NA,ts0660028,ts066,Economic activity status: Economically inactive: Student
Economic activity status,Economically inactive: Looking after home or family,NA,ts0660029,ts066,Economic activity status: Economically inactive: Looking after home or family
Economic activity status,Economically inactive: Long-term sick or disabled,NA,ts0660030,ts066,Economic activity status: Economically inactive: Long-term sick or disabled
Economic activity status,Economically inactive: Other,NA,ts0660031,ts066,Economic activity status: Economically inactive: Other
Accommodation type,Total: All households,NA,ts0440001,ts044,Accommodation type: Total: All households
Accommodation type,Detached,NA,ts0440002,ts044,Accommodation type: Detached
Accommodation type,Semi-detached,NA,ts0440003,ts044,Accommodation type: Semi-detached
Accommodation type,Terraced,NA,ts0440004,ts044,Accommodation type: Terraced
Accommodation type,In a purpose-built block of flats or tenement,NA,ts0440005,ts044,Accommodation type: In a purpose-built block of flats or tenement
Accommodation type,"Part of a converted or shared house, including bedsits",NA,ts0440006,ts044,"Accommodation type: Part of a converted or shared house, including bedsits"
Accommodation type,"Part of another converted building, for example, former school, church or warehouse",NA,ts0440007,ts044,"Accommodation type: Part of another converted building, for example, former school, church or warehouse"
Accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",NA,ts0440008,ts044,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop"
Accommodation type,A caravan or other mobile or temporary structure,NA,ts0440009,ts044,Accommodation type: A caravan or other mobile or temporary structure
Number of cars or vans,Total: All households,NA,ts0450001,ts045,Number of cars or vans: Total: All households
Number of cars or vans,No cars or vans in household,NA,ts0450002,ts045,Number of cars or vans: No cars or vans in household
Number of cars or vans,1 car or van in household,NA,ts0450003,ts045,Number of cars or vans: 1 car or van in household
Number of cars or vans,2 cars or vans in household,NA,ts0450004,ts045,Number of cars or vans: 2 cars or vans in household
Number of cars or vans,3 or more cars or vans in household,NA,ts0450005,ts045,Number of cars or vans: 3 or more cars or vans in household
Type of central heating in household,Total: All households,NA,ts0460001,ts046,Type of central heating in household: Total: All households
Type of central heating in household,No central heating,NA,ts0460002,ts046,Type of central heating in household: No central heating
Type of central heating in household,Mains gas only,NA,ts0460003,ts046,Type of central heating in household: Mains gas only
Type of central heating in household,Tank or bottled gas only,NA,ts0460004,ts046,Type of central heating in household: Tank or bottled gas only
Type of central heating in household,Electric only,NA,ts0460005,ts046,Type of central heating in household: Electric only
Type of central heating in household,Oil only,NA,ts0460006,ts046,Type of central heating in household: Oil only
Type of central heating in household,Wood only,NA,ts0460007,ts046,Type of central heating in household: Wood only
Type of central heating in household,Solid fuel only,NA,ts0460008,ts046,Type of central heating in household: Solid fuel only
Type of central heating in household,Renewable energy only,NA,ts0460009,ts046,Type of central heating in household: Renewable energy only
Type of central heating in household,District or communal heat networks only,NA,ts0460010,ts046,Type of central heating in household: District or communal heat networks only
Type of central heating in household,Other central heating only,NA,ts0460011,ts046,Type of central heating in household: Other central heating only
Type of central heating in household,Two or more types of central heating (not including renewable energy),NA,ts0460012,ts046,Type of central heating in household: Two or more types of central heating (not including renewable energy)
Type of central heating in household,Two or more types of central heating (including renewable energy),NA,ts0460013,ts046,Type of central heating in household: Two or more types of central heating (including renewable energy)
Number of bedrooms,Total: All households,NA,ts0500001,ts050,Number of bedrooms: Total: All households
Number of bedrooms,1 bedroom,NA,ts0500002,ts050,Number of bedrooms: 1 bedroom
Number of bedrooms,2 bedrooms,NA,ts0500003,ts050,Number of bedrooms: 2 bedrooms
Number of bedrooms,3 bedrooms,NA,ts0500004,ts050,Number of bedrooms: 3 bedrooms
Number of bedrooms,4 or more bedrooms,NA,ts0500005,ts050,Number of bedrooms: 4 or more bedrooms
Number of rooms (VOA),Number of rooms (VOA): Total: All households,NA,ts0510001,ts051,Number of rooms (VOA): Total: All households
Number of rooms (VOA),Number of rooms (VOA): 1 room,NA,ts0510002,ts051,Number of rooms (VOA): 1 room
Number of rooms (VOA),Number of rooms (VOA): 2 rooms,NA,ts0510003,ts051,Number of rooms (VOA): 2 rooms
Number of rooms (VOA),Number of rooms (VOA): 3 rooms,NA,ts0510004,ts051,Number of rooms (VOA): 3 rooms
Number of rooms (VOA),Number of rooms (VOA): 4 rooms,NA,ts0510005,ts051,Number of rooms (VOA): 4 rooms
Number of rooms (VOA),Number of rooms (VOA): 5 rooms,NA,ts0510006,ts051,Number of rooms (VOA): 5 rooms
Number of rooms (VOA),Number of rooms (VOA): 6 rooms,NA,ts0510007,ts051,Number of rooms (VOA): 6 rooms
Number of rooms (VOA),Number of rooms (VOA): 7 rooms,NA,ts0510008,ts051,Number of rooms (VOA): 7 rooms
Number of rooms (VOA),Number of rooms (VOA): 8 rooms,NA,ts0510009,ts051,Number of rooms (VOA): 8 rooms
Number of rooms (VOA),Number of rooms (VOA): 9 or more rooms,NA,ts0510010,ts051,Number of rooms (VOA): 9 or more rooms
Occupancy rating for bedrooms,Total: All households,NA,ts0520001,ts052,Occupancy rating for bedrooms: Total: All households
Occupancy rating for bedrooms,Occupancy rating of bedrooms: +2 or more,NA,ts0520002,ts052,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more
Occupancy rating for bedrooms,Occupancy rating of bedrooms: +1,NA,ts0520003,ts052,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1
Occupancy rating for bedrooms,Occupancy rating of bedrooms: 0,NA,ts0520004,ts052,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0
Occupancy rating for bedrooms,Occupancy rating of bedrooms: -1,NA,ts0520005,ts052,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1
Occupancy rating for bedrooms,Occupancy rating of bedrooms: -2 or less,NA,ts0520006,ts052,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less
Occupancy rating for rooms,Total: All households,NA,ts0530001,ts053,Occupancy rating for rooms: Total: All households
Occupancy rating for rooms,Occupancy rating of rooms: +2 or more,NA,ts0530002,ts053,Occupancy rating for rooms: Occupancy rating of rooms: +2 or more
Occupancy rating for rooms,Occupancy rating of rooms: +1,NA,ts0530003,ts053,Occupancy rating for rooms: Occupancy rating of rooms: +1
Occupancy rating for rooms,Occupancy rating of rooms: 0,NA,ts0530004,ts053,Occupancy rating for rooms: Occupancy rating of rooms: 0
Occupancy rating for rooms,Occupancy rating of rooms: -1,NA,ts0530005,ts053,Occupancy rating for rooms: Occupancy rating of rooms: -1
Occupancy rating for rooms,Occupancy rating of rooms: -2 or less,NA,ts0530006,ts053,Occupancy rating for rooms: Occupancy rating of rooms: -2 or less
Tenure of household,Total: All households,NA,ts0540001,ts054,Tenure of household: Total: All households
Tenure of household,Owned,NA,ts0540002,ts054,Tenure of household: Owned
Tenure of household,Owned: Owns outright,NA,ts0540003,ts054,Tenure of household: Owned: Owns outright
Tenure of household,Owned: Owns with a mortgage or loan,NA,ts0540004,ts054,Tenure of household: Owned: Owns with a mortgage or loan
Tenure of household,Shared ownership,NA,ts0540005,ts054,Tenure of household: Shared ownership
Tenure of household,Shared ownership: Shared ownership,NA,ts0540006,ts054,Tenure of household: Shared ownership: Shared ownership
Tenure of household,Social rented,NA,ts0540007,ts054,Tenure of household: Social rented
Tenure of household,Social rented: Rents from council or Local Authority,NA,ts0540008,ts054,Tenure of household: Social rented: Rents from council or Local Authority
Tenure of household,Social rented: Other social rented,NA,ts0540009,ts054,Tenure of household: Social rented: Other social rented
Tenure of household,Private rented,NA,ts0540010,ts054,Tenure of household: Private rented
Tenure of household,Private rented: Private landlord or letting agency,NA,ts0540011,ts054,Tenure of household: Private rented: Private landlord or letting agency
Tenure of household,Private rented: Other private rented,NA,ts0540012,ts054,Tenure of household: Private rented: Other private rented
Tenure of household,Lives rent free,NA,ts0540013,ts054,Tenure of household: Lives rent free
Second address type,Total: All usual residents,NA,ts0550001,ts055,Second address type: Total: All usual residents
Second address type,Armed forces base address,NA,ts0550002,ts055,Second address type: Armed forces base address
Second address type,Another address when working away from home,NA,ts0550003,ts055,Second address type: Another address when working away from home
Second address type,Holiday home,NA,ts0550004,ts055,Second address type: Holiday home
Second address type,Student's term-time address,NA,ts0550005,ts055,Second address type: Student's term-time address
Second address type,Student's home address,NA,ts0550006,ts055,Second address type: Student's home address
Second address type,Another parent or guardian's address,NA,ts0550007,ts055,Second address type: Another parent or guardian's address
Second address type,Partner's address,NA,ts0550008,ts055,Second address type: Partner's address
Second address type,Other,NA,ts0550009,ts055,Second address type: Other
Second address type,Second address type not specified,NA,ts0550010,ts055,Second address type: Second address type not specified
Second address indicator,Total: All usual residents,NA,ts0560001,ts056,Second address indicator: Total: All usual residents
Second address indicator,No second address,NA,ts0560002,ts056,Second address indicator: No second address
Second address indicator,Second address is in the UK,NA,ts0560003,ts056,Second address indicator: Second address is in the UK
Second address indicator,Second address is outside the UK,NA,ts0560004,ts056,Second address indicator: Second address is outside the UK
Highest level of qualification,Total: All usual residents aged 16 years and over,NA,ts0670001,ts067,Highest level of qualification: Total: All usual residents aged 16 years and over
Highest level of qualification,No qualifications,NA,ts0670002,ts067,Highest level of qualification: No qualifications
Highest level of qualification,Level 1 and entry level qualifications,NA,ts0670003,ts067,Highest level of qualification: Level 1 and entry level qualifications
Highest level of qualification,Level 2 qualifications,NA,ts0670004,ts067,Highest level of qualification: Level 2 qualifications
Highest level of qualification,Apprenticeship,NA,ts0670005,ts067,Highest level of qualification: Apprenticeship
Highest level of qualification,Level 3 qualifications,NA,ts0670006,ts067,Highest level of qualification: Level 3 qualifications
Highest level of qualification,Level 4 qualifications and above,NA,ts0670007,ts067,Highest level of qualification: Level 4 qualifications and above
Highest level of qualification,Other qualifications,NA,ts0670008,ts067,Highest level of qualification: Other qualifications
Schoolchild or full-time student indicator,Total: All usual residents aged 5 years and over,NA,ts0680001,ts068,Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over
Schoolchild or full-time student indicator,Student,NA,ts0680002,ts068,Schoolchild or full-time student indicator: Student
Schoolchild or full-time student indicator,Not a student,NA,ts0680003,ts068,Schoolchild or full-time student indicator: Not a student
General health,Total: All usual residents,NA,ts0370001,ts037,General health: Total: All usual residents
General health,Very good health,NA,ts0370002,ts037,General health: Very good health
General health,Good health,NA,ts0370003,ts037,General health: Good health
General health,Fair health,NA,ts0370004,ts037,General health: Fair health
General health,Bad health,NA,ts0370005,ts037,General health: Bad health
